                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4159,                 3.3515,                 1.4548,                 0.0037,                0.95238,                0.32704,                0.26424,                0.71749,                 3.1366,                0.93358,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.0408,                 3.0262,                  1.154,                0.00389,                      1,                0.61411,                0.28556,                 1.1269,                 3.2479,                 1.1063,             0.00013538,             0.00013538,             0.00013538
                      3,                0.96025,                 2.2522,                 1.0634,                0.40109,                0.90476,                0.80935,                0.20876,                 1.2554,                 3.2289,                 1.2747,             0.00020548,             0.00020548,             0.00020548
                      4,                0.87613,                  1.906,                0.99413,                0.36657,                0.90476,                0.79923,                 0.3475,                 1.2816,                 3.0492,                 1.3785,              0.0002703,              0.0002703,              0.0002703
                      5,                0.90473,                 1.7166,                 1.0121,                0.00389,                      1,                0.72653,                0.30949,                 1.3698,                 3.1093,                 1.4129,             0.00032984,             0.00032984,             0.00032984
                      6,                0.83427,                 1.6362,                0.96344,                0.00389,                      1,                0.84242,                0.22176,                  1.832,                 3.4285,                 1.7612,              0.0003841,              0.0003841,              0.0003841
                      7,                0.76828,                 1.4227,                0.90391,                  0.938,                0.72074,                0.80261,                0.25942,                 1.7962,                 3.4455,                 1.7679,             0.00043308,             0.00043308,             0.00043308
                      8,                0.77287,                 1.2958,                0.91754,                0.92934,                0.62669,                0.84268,                 0.3277,                  1.638,                  3.029,                 1.8705,             0.00047678,             0.00047678,             0.00047678
                      9,                0.85348,                 1.5926,                 1.0205,                 0.9732,                0.85714,                0.90324,                  0.525,                 1.4039,                 2.5039,                 1.8942,              0.0005152,              0.0005152,              0.0005152
                     10,                0.84989,                 1.3217,                0.98215,                0.93249,                 0.6582,                0.82729,                0.43635,                 1.5263,                 2.7749,                 2.0168,             0.00054834,             0.00054834,             0.00054834
                     11,                0.75498,                 1.3748,                0.95404,                      1,                0.69225,                 0.8712,                0.46472,                 1.4539,                 2.7526,                 1.9869,              0.0005762,              0.0005762,              0.0005762
                     12,                0.82142,                 1.4385,                 1.0038,                0.99436,                0.80952,                0.89808,                0.56565,                 1.2936,                 2.5899,                 1.8488,             0.00059878,             0.00059878,             0.00059878
                     13,                0.84203,                 1.4154,                0.98199,                0.93263,                0.65967,                0.85453,                0.32354,                 1.6714,                 2.9115,                 2.1155,             0.00061608,             0.00061608,             0.00061608
                     14,                0.78901,                  1.236,                0.96095,                0.86319,                0.60166,                0.83747,                0.25689,                 1.8134,                 3.0356,                 2.1922,              0.0006281,              0.0006281,              0.0006281
                     15,                0.78534,                 1.2549,                0.96917,                 0.8775,                0.68286,                0.85467,                0.26919,                  1.801,                 2.9121,                 2.1153,             0.00063484,             0.00063484,             0.00063484
                     16,                0.84675,                 1.2117,                 1.0152,                0.86696,                0.62074,                0.86108,                0.35292,                 1.6396,                  2.803,                 1.9733,              0.0006363,              0.0006363,              0.0006363
                     17,                0.74043,                 1.1593,                0.94526,                0.88034,                0.70125,                0.84911,                0.39647,                 1.6428,                 2.6201,                 1.9984,             0.00063248,             0.00063248,             0.00063248
                     18,                0.79506,                 1.1143,                0.96833,                0.98362,                0.85714,                0.90082,                0.39757,                 1.6951,                 2.1506,                 2.0521,             0.00062338,             0.00062338,             0.00062338
                     19,                0.78205,                 1.0944,                0.95587,                0.99433,                0.85714,                0.90071,                0.38958,                  1.728,                 2.0398,                 2.0692,               0.000609,               0.000609,               0.000609
                     20,                0.82181,                 1.0839,                0.94314,                0.94976,                0.90042,                0.90299,                 0.4007,                 1.6742,                 1.9382,                 2.0464,             0.00058934,             0.00058934,             0.00058934
                     21,                 0.6866,                 1.3573,                0.91085,                0.94504,                0.85714,                0.89131,                0.44895,                  1.592,                 2.1352,                 1.8245,              0.0005644,              0.0005644,              0.0005644
                     22,                0.68035,                  1.404,                0.88388,                0.94567,                0.82944,                0.88468,                0.42922,                  1.646,                 2.3391,                 1.8758,             0.00053418,             0.00053418,             0.00053418
                     23,                0.71177,                 1.4963,                0.90482,                0.98645,                0.85714,                0.89508,                0.44371,                 1.6495,                 2.2902,                 1.8972,             0.00049868,             0.00049868,             0.00049868
                     24,                0.78457,                 1.4898,                0.93133,                0.94935,                0.89291,                0.90052,                0.42657,                  1.698,                 2.0554,                 1.9292,              0.0004579,              0.0004579,              0.0004579
                     25,                0.62359,                 1.3768,                0.88536,                0.99412,                0.85714,                0.90301,                0.41707,                 1.7182,                 1.8529,                 2.0194,             0.00041184,             0.00041184,             0.00041184
                     26,                0.68257,                 1.2279,                0.87802,                0.99471,                0.85714,                0.90304,                0.42452,                 1.6519,                 1.7491,                 2.0505,                0.00035,                0.00035,                0.00035
                     27,                0.60652,                 1.1818,                0.88191,                      1,                0.89868,                 0.9056,                0.45046,                 1.6468,                 1.7763,                  2.107,                0.00035,                0.00035,                0.00035
                     28,                0.58354,                 1.1535,                0.87894,                      1,                0.90026,                 0.9056,                0.43334,                 1.7134,                 1.7124,                 2.1196,               0.000284,               0.000284,               0.000284
                     29,                0.64007,                 1.0861,                0.89363,                      1,                0.90123,                0.90555,                0.42966,                 1.7035,                 1.6645,                 2.1176,               0.000218,               0.000218,               0.000218
                     30,                0.53607,                 1.0535,                0.87158,                      1,                0.90119,                0.90553,                0.42934,                 1.6763,                 1.6434,                 2.0982,               0.000152,               0.000152,               0.000152
