                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4159,                 3.3515,                 1.4548,                 0.0037,                0.95238,                0.32704,                0.26424,                0.71749,                 3.1366,                0.93358,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.0396,                 3.0189,                 1.1508,                0.00389,                      1,                0.62783,                0.28639,                 1.1384,                 3.2418,                 1.1151,             0.00013874,             0.00013874,             0.00013874
                      3,                0.95096,                 2.2528,                 1.0621,                0.61188,                0.90476,                0.82218,                0.22811,                 1.1823,                 3.2295,                  1.232,             0.00021604,             0.00021604,             0.00021604
                      4,                0.87878,                 1.9057,                0.99997,                0.00389,                      1,                0.80193,                0.38442,                 1.1312,                 3.1346,                 1.2034,              0.0002919,              0.0002919,              0.0002919
                      5,                0.92093,                 1.7145,                 1.0265,                0.00389,                      1,                 0.8002,                0.38133,                 1.2552,                 3.0856,                 1.2751,             0.00036632,             0.00036632,             0.00036632
                      6,                0.83868,                 1.6033,                 0.9725,                0.00389,                      1,                0.86279,                 0.2763,                  1.663,                 3.3112,                 1.6368,              0.0004393,              0.0004393,              0.0004393
                      7,                0.79344,                 1.4117,                0.90753,                      1,                0.24661,                0.86009,                0.25204,                 1.7997,                 3.4236,                 1.8079,             0.00051084,             0.00051084,             0.00051084
                      8,                0.77369,                 1.2774,                0.92076,                0.99733,                0.57143,                0.80944,                0.32037,                 1.5869,                 3.0853,                 1.8697,             0.00058094,             0.00058094,             0.00058094
                      9,                0.84194,                 1.6153,                0.99664,                0.83394,                0.71759,                0.76204,                 0.4306,                 1.4599,                 2.7255,                 2.1164,              0.0006496,              0.0006496,              0.0006496
                     10,                0.86278,                  1.407,                0.98551,                0.88525,                0.36848,                0.68442,                0.34185,                 1.6385,                 3.1369,                 1.9531,             0.00071682,             0.00071682,             0.00071682
                     11,                0.78348,                 1.4498,                0.97828,                 0.6872,                0.38095,                 0.6338,                0.31811,                 1.4925,                 3.1641,                 1.7151,              0.0007826,              0.0007826,              0.0007826
                     12,                0.92434,                    1.5,                 1.0576,                0.81937,                0.43231,                0.65157,                0.35586,                 1.4574,                  3.083,                 1.8578,             0.00084694,             0.00084694,             0.00084694
                     13,                 1.0612,                 1.5401,                 1.0706,                0.47164,                0.42857,                 0.4278,                0.14714,                 2.1534,                 3.6918,                 2.5591,             0.00090984,             0.00090984,             0.00090984
                     14,                0.93847,                 1.2471,                0.96754,                0.55056,                0.46708,                0.38996,                0.10984,                 2.3895,                 3.7302,                 2.8366,              0.0009713,              0.0009713,              0.0009713
                     15,                0.88935,                 1.3127,                0.97671,                0.73795,                0.67067,                0.74831,                0.25438,                  1.957,                 2.8375,                 2.1817,              0.0010313,              0.0010313,              0.0010313
                     16,                 0.9582,                 1.3143,                 1.0304,                0.85164,                0.66667,                0.77882,                 0.3782,                 1.7311,                 2.3998,                 1.9422,              0.0010899,              0.0010899,              0.0010899
                     17,                0.86596,                 1.1686,                0.96986,                0.93713,                0.71001,                0.78883,                0.37023,                 1.5596,                 2.2895,                 1.9938,               0.001147,               0.001147,               0.001147
                     18,                0.88471,                  1.177,                0.99614,                0.87556,                0.71429,                0.77433,                0.38779,                 1.6195,                 2.3709,                 2.0297,              0.0012027,              0.0012027,              0.0012027
                     19,                0.89997,                 1.2156,                 1.0373,                 0.9813,                0.71429,                0.75224,                0.37001,                 1.6641,                 2.5475,                 2.0799,               0.001257,               0.001257,               0.001257
                     20,                0.95582,                 1.2352,                 1.0037,                0.74533,                0.69739,                0.62075,                0.27297,                 1.8403,                 3.0137,                 2.2751,              0.0013098,              0.0013098,              0.0013098
                     21,                 0.9164,                 1.3268,                 1.0265,                0.70548,                0.57039,                0.62399,                0.34885,                 1.6901,                 2.6639,                 2.0149,              0.0013612,              0.0013612,              0.0013612
                     22,                 1.0039,                 1.3468,                  1.073,                0.82837,                0.57143,                0.66065,                0.36438,                 1.6189,                 2.3789,                 1.9073,              0.0014111,              0.0014111,              0.0014111
                     23,                 0.8766,                 1.1326,                0.95859,                0.67884,                0.71429,                  0.667,                0.34647,                 1.9196,                 2.3761,                 2.0462,              0.0014596,              0.0014596,              0.0014596
                     24,                0.83149,                 1.0815,                 0.9775,                      1,                0.56181,                0.66567,                 0.3089,                  1.904,                 2.3259,                 2.0559,              0.0015067,              0.0015067,              0.0015067
                     25,                0.79782,                 1.1421,                0.95132,                0.80322,                0.61905,                0.72867,                0.40478,                 1.6219,                 2.2219,                 1.9608,              0.0015523,              0.0015523,              0.0015523
                     26,                 0.8245,                 1.1057,                  1.016,                      1,                0.65037,                0.79503,                0.39234,                  1.657,                 2.2522,                 1.9635,                0.00155,                0.00155,                0.00155
                     27,                0.84882,                 1.0868,                 1.0082,                 0.9108,                0.66667,                0.74411,                0.28753,                 1.9013,                 2.3975,                 2.2177,                0.00155,                0.00155,                0.00155
                     28,                0.94491,                 1.2021,                0.99188,                0.89684,                0.71429,                0.81753,                0.36151,                  1.675,                 2.1995,                 2.0928,               0.001532,               0.001532,               0.001532
                     29,                0.83238,                 1.0745,                 1.0084,                0.98985,                0.80952,                0.91916,                0.48642,                 1.5713,                 2.0054,                 2.0839,               0.001514,               0.001514,               0.001514
                     30,                0.86664,                 1.1304,                 1.0075,                0.81011,                0.85714,                0.86507,                 0.4635,                 1.4608,                 1.9964,                 1.9051,               0.001496,               0.001496,               0.001496
                     31,                0.80534,                 1.0224,                0.99928,                0.74361,                0.85714,                0.79073,                 0.3778,                 1.5256,                 2.0103,                 1.8929,               0.001478,               0.001478,               0.001478
                     32,                0.90255,                 1.0213,                  1.048,                0.76286,                0.80952,                 0.7213,                0.35284,                 1.6568,                 1.7556,                 2.1566,                0.00146,                0.00146,                0.00146
                     33,                0.82961,                 1.0399,                0.98907,                0.83018,                 0.7619,                0.80391,                 0.3817,                 1.6999,                 1.7387,                 2.2847,               0.001442,               0.001442,               0.001442
                     34,                0.84443,                 1.0413,                0.99995,                0.83071,                 0.7619,                 0.7992,                0.44317,                  1.504,                 1.7822,                 1.9972,               0.001424,               0.001424,               0.001424
                     35,                0.82553,                 1.0542,                 1.0109,                0.94104,                0.76015,                0.88463,                0.49932,                 1.5087,                 1.6156,                 1.8955,               0.001406,               0.001406,               0.001406
                     36,                0.93083,                 1.0151,                 1.0334,                0.98916,                 0.7619,                0.83044,                0.47062,                 1.5598,                 1.6892,                 1.8587,               0.001388,               0.001388,               0.001388
                     37,                0.79751,                0.98038,                0.95293,                0.88429,                 0.7619,                0.82662,                0.43319,                 1.6939,                 1.7583,                 1.8589,                0.00137,                0.00137,                0.00137
                     38,                0.77069,                 0.9259,                0.99968,                0.87717,                 0.7619,                0.82525,                0.40769,                 1.8289,                 1.7787,                  2.005,               0.001352,               0.001352,               0.001352
                     39,                0.79709,                0.88459,                0.97749,                0.93312,                0.85714,                0.91049,                 0.4477,                 1.7593,                 1.7848,                 2.1026,               0.001334,               0.001334,               0.001334
                     40,                0.84555,                0.99817,                 1.0115,                0.94423,                0.80641,                0.88972,                0.43063,                 1.6534,                 1.9581,                 2.1252,               0.001316,               0.001316,               0.001316
                     41,                0.76309,                0.86882,                0.96827,                0.84762,                0.79517,                0.83955,                0.38119,                 1.6862,                 1.9251,                  2.182,               0.001298,               0.001298,               0.001298
                     42,                 0.7312,                0.79835,                0.96493,                0.76932,                0.71429,                0.71171,                0.28257,                 2.0111,                 2.0581,                 2.4646,                0.00128,                0.00128,                0.00128
                     43,                 0.7482,                 0.8897,                0.98142,                  0.838,                 0.7396,                0.75013,                0.30143,                 2.1271,                 1.9914,                 2.4253,               0.001262,               0.001262,               0.001262
                     44,                0.71849,                0.84932,                0.91516,                0.91323,                 0.7619,                0.81894,                0.35438,                   2.06,                 1.8734,                 2.2081,               0.001244,               0.001244,               0.001244
                     45,                0.72649,                0.79163,                0.93911,                0.77775,                0.80952,                0.79437,                0.28278,                 2.2313,                 2.0778,                 2.3419,               0.001226,               0.001226,               0.001226
                     46,                0.76894,                 0.8929,                0.97516,                 0.7248,                 0.7619,                0.72115,                0.22561,                 2.2246,                 2.1621,                 2.3095,               0.001208,               0.001208,               0.001208
                     47,                0.67983,                 0.8213,                0.92702,                0.74985,                0.71375,                0.74474,                0.23634,                 2.2791,                 2.1566,                 2.3991,                0.00119,                0.00119,                0.00119
                     48,                0.74023,                0.81415,                0.92908,                0.76457,                0.66667,                0.73848,                0.18424,                  2.545,                 2.1493,                 2.6262,               0.001172,               0.001172,               0.001172
                     49,                0.69334,                0.81085,                 0.9526,                0.87952,                 0.7619,                0.85257,                0.22347,                 2.4913,                 1.8352,                  2.641,               0.001154,               0.001154,               0.001154
                     50,                0.72935,                0.81053,                0.97155,                0.98321,                0.80952,                 0.8871,                0.28574,                 2.0593,                 1.5573,                 2.6215,               0.001136,               0.001136,               0.001136
                     51,                0.59591,                0.73064,                0.90627,                0.93778,                0.80952,                0.89342,                  0.355,                 1.7712,                 1.3963,                 2.4106,               0.001118,               0.001118,               0.001118
                     52,                0.67153,                0.80054,                0.94736,                0.90151,                0.90476,                 0.9047,                0.43162,                  1.719,                 1.3858,                 2.1568,                 0.0011,                 0.0011,                 0.0011
                     53,                0.70676,                0.70996,                0.93878,                0.89857,                0.90476,                0.89476,                0.43659,                 1.7765,                  1.419,                 2.1136,               0.001082,               0.001082,               0.001082
                     54,                0.73266,                0.75427,                 0.9222,                0.86224,                0.90476,                 0.9142,                 0.4083,                 1.8972,                 1.4231,                 2.2177,               0.001064,               0.001064,               0.001064
