                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79251,                0.99097,                0.98185,                0.85799,                0.90476,                0.90277,                0.41491,                 1.8786,                 1.9709,                 2.1797,              0.0010666,              0.0010666,              0.0010666
                     36,                0.82681,                0.99851,                0.97924,                 0.8953,                0.85714,                0.86723,                0.37844,                 1.9117,                 1.8096,                 2.1571,              0.0010383,              0.0010383,              0.0010383
                     37,                0.83195,                0.93696,                0.95869,                0.91424,                0.80952,                0.88998,                0.37299,                 1.9678,                 1.8504,                 2.1932,                0.00101,                0.00101,                0.00101
                     38,                0.75695,                0.89733,                0.97119,                0.94907,                0.88788,                0.88518,                0.37292,                 1.8496,                 1.8384,                 2.1697,             0.00098171,             0.00098171,             0.00098171
                     39,                0.71762,                0.80153,                0.95107,                0.90411,                0.89825,                0.88858,                0.37715,                 1.7336,                  1.864,                 2.1742,             0.00095343,             0.00095343,             0.00095343
                     40,                0.78257,                0.88171,                0.97547,                0.99436,                0.85714,                0.90769,                0.37307,                 1.6242,                 1.9948,                 2.0279,             0.00092514,             0.00092514,             0.00092514
                     41,                0.72621,                0.81268,                0.94864,                0.90227,                0.90476,                0.90072,                0.42937,                 1.5273,                 1.8771,                 1.9376,             0.00089686,             0.00089686,             0.00089686
                     42,                0.67779,                0.77837,                0.93258,                0.93864,                0.90476,                0.90143,                0.43704,                 1.4887,                 1.6009,                 1.8715,             0.00086857,             0.00086857,             0.00086857
                     43,                0.68531,                 0.8109,                0.93639,                0.99764,                0.90476,                0.90585,                0.47302,                 1.5481,                 1.4064,                   1.81,             0.00084029,             0.00084029,             0.00084029
                     44,                0.70721,                0.79228,                0.89954,                 0.9991,                0.90476,                0.90588,                0.45683,                 1.5716,                 1.3553,                 1.7995,               0.000812,               0.000812,               0.000812
                     45,                0.68137,                0.82193,                0.89593,                0.99784,                0.90476,                0.93156,                0.43981,                 1.6391,                 1.3678,                 1.9174,             0.00078371,             0.00078371,             0.00078371
                     46,                0.74882,                0.86505,                0.94415,                 0.9956,                0.90476,                0.91548,                0.39576,                 1.7148,                 1.4036,                 2.0638,             0.00075543,             0.00075543,             0.00075543
                     47,                0.66177,                0.79174,                0.91756,                0.99495,                0.90476,                 0.9158,                0.37808,                 1.7061,                 1.4027,                 2.1315,             0.00072714,             0.00072714,             0.00072714
                     48,                0.66134,                0.77928,                0.89133,                0.99503,                0.90476,                0.94529,                0.37841,                  1.708,                 1.3865,                  2.161,             0.00069886,             0.00069886,             0.00069886
                     49,                0.63012,                0.78402,                0.91939,                 0.9954,                0.90476,                0.94235,                0.37475,                 1.7181,                 1.3198,                 2.1571,             0.00067057,             0.00067057,             0.00067057
                     50,                0.66244,                0.78476,                0.93399,                0.99569,                0.90476,                0.94237,                0.37405,                 1.6542,                 1.2854,                 2.1003,             0.00064229,             0.00064229,             0.00064229
                     51,                0.53995,                0.70833,                0.88958,                0.99619,                0.90476,                0.94701,                0.38575,                 1.7069,                 1.2721,                 2.1141,               0.000614,               0.000614,               0.000614
                     52,                 0.5767,                0.76078,                0.89945,                0.99664,                0.90476,                0.95092,                0.40122,                 1.7033,                 1.2397,                  2.098,             0.00058571,             0.00058571,             0.00058571
                     53,                0.61712,                0.70484,                0.90889,                0.99661,                0.90476,                 0.9064,                0.38648,                 1.6995,                 1.2209,                  2.109,             0.00055743,             0.00055743,             0.00055743
