                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4159,                 3.3515,                 1.4548,                 0.0037,                0.95238,                0.32704,                0.26424,                0.71749,                 3.1366,                0.93358,                  6e-05,                  6e-05,                  6e-05
                      2,                  1.049,                 3.0907,                 1.1737,                0.00389,                      1,                0.62717,                0.38433,                0.95708,                 3.1976,                 1.0222,               9.38e-05,               9.38e-05,               9.38e-05
                      3,                0.96761,                 2.6048,                 1.1092,                0.00389,                      1,                0.59255,                0.21419,                 1.2113,                 3.3023,                 1.1812,               7.48e-05,               7.48e-05,               7.48e-05
