                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3876,                 2.9983,                 1.2419,                0.95464,                0.16445,                0.40197,                0.27912,                 1.1591,                 2.6468,                0.95752,                0.00026,                0.00026,                0.00026
                      2,                 1.3418,                 1.6091,                 1.0864,                0.97008,                0.25336,                0.45925,                0.33153,                 1.1569,                 2.5326,                 1.0047,             0.00052931,             0.00052931,             0.00052931
                      3,                 1.3482,                 1.4771,                 1.1385,                0.79377,                0.06031,                0.26838,                0.13747,                 1.4308,                 2.8148,                 1.2703,             0.00078753,             0.00078753,             0.00078753
                      4,                 1.3417,                 1.3156,                 1.1652,                 0.8003,                0.50095,                0.63854,                0.40768,                 1.3285,                 2.1683,                  1.097,              0.0010347,              0.0010347,              0.0010347
                      5,                 1.2829,                  1.211,                 1.1149,                0.75145,                 0.5625,                0.63045,                0.36426,                 1.3968,                 2.1126,                 1.1014,              0.0012707,              0.0012707,              0.0012707
                      6,                 1.2966,                 1.1827,                 1.1146,                0.46322,                0.51562,                0.50143,                0.29243,                 1.3316,                 2.0167,                 1.0987,              0.0014957,              0.0014957,              0.0014957
                      7,                 1.2904,                 1.1705,                 1.1249,                0.68115,                0.53125,                0.64119,                0.33896,                 1.5207,                 2.0511,                 1.2423,              0.0017095,              0.0017095,              0.0017095
                      8,                 1.3351,                 1.1618,                 1.1098,                0.56396,                0.44531,                0.45835,                0.25863,                 1.5377,                 2.1035,                 1.3826,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2684,                  1.169,                 1.1283,                0.69945,                0.54546,                0.59443,                0.38017,                 1.3321,                 1.9477,                 1.1541,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.2586,                 1.0809,                 1.0947,                0.80039,                0.54688,                0.63906,                0.36426,                 1.3812,                 1.9623,                 1.2203,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.2417,                 1.0602,                 1.0857,                0.81369,                 0.6875,                0.78644,                0.41391,                 1.4641,                 1.5344,                 1.2409,              0.0016436,              0.0016436,              0.0016436
                     12,                  1.345,                  1.079,                 1.1497,                0.75801,                0.63281,                0.67599,                0.35044,                 1.5307,                 1.5693,                 1.2869,               0.001604,               0.001604,               0.001604
                     13,                 1.2494,                 1.0327,                 1.1128,                0.85473,                0.87337,                0.89706,                0.52907,                 1.2862,                 1.1496,                 1.1797,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.2094,                0.93726,                   1.08,                0.84039,                0.82268,                0.84652,                0.52157,                 1.2343,                 1.1118,                 1.0648,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.2851,                      1,                 1.0873,                0.83126,                0.66406,                0.73803,                 0.4739,                 1.2717,                 1.2879,                 1.0721,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.1511,                0.91038,                 1.0548,                 0.7593,                0.78125,                0.83515,                0.56041,                 1.1167,                 1.3083,                 1.0224,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.2251,                0.96602,                 1.0838,                0.82944,                0.87381,                0.88528,                0.51518,                 1.2282,                 1.0579,                 1.0856,               0.001406,               0.001406,               0.001406
                     18,                 1.1317,                   0.92,                 1.0469,                0.75231,                 0.8125,                0.75126,                0.44515,                 1.2587,                 1.1055,                 1.0989,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.1478,                0.88109,                 1.0769,                   0.79,                 0.8125,                0.83308,                0.53852,                 1.1708,                 1.0316,                 1.0457,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.2232,                0.89614,                  1.092,                0.93718,                0.81583,                0.88542,                0.53488,                  1.166,                 1.0141,                 1.0595,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.1432,                0.87419,                 1.0651,                0.87861,                0.82031,                0.85842,                0.55197,                 1.1508,                 1.0024,                 1.0549,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.1129,                0.81682,                 1.0577,                0.85027,                0.88281,                0.86953,                0.55155,                 1.1943,                 1.0624,                 1.1283,               0.001208,               0.001208,               0.001208
                     23,                 1.1097,                0.81754,                 1.0412,                0.82507,                0.78125,                0.82334,                0.50557,                 1.2939,                 1.2195,                  1.226,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.1263,                0.84425,                 1.0502,                0.87121,                0.79688,                0.85973,                0.51771,                 1.2143,                  1.006,                  1.122,              0.0011288,              0.0011288,              0.0011288
                     25,                  1.096,                0.79507,                 1.0346,                 0.9682,                0.75781,                0.86438,                0.57016,                 1.1539,                0.99045,                 1.0791,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.0728,                0.76053,                 1.0305,                0.96296,                0.78125,                0.89524,                  0.583,                 1.1599,                0.93468,                 1.0546,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.1193,                 0.7809,                 1.0379,                0.91717,                0.77854,                0.88418,                0.54747,                 1.2315,                0.99752,                 1.0753,                0.00101,                0.00101,                0.00101
                     28,                 1.1041,                 0.7444,                 1.0172,                0.92258,                0.83594,                0.90535,                0.56431,                 1.2483,                0.94089,                 1.1269,              0.0009704,              0.0009704,              0.0009704
                     29,                  1.067,                0.73113,                 1.0177,                0.90815,                0.92691,                 0.9303,                0.62133,                 1.1565,                0.77727,                 1.0757,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.0652,                0.76509,                 1.0242,                0.89253,                0.90625,                0.91907,                0.63245,                 1.0954,                0.74889,                 1.0308,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.0358,                0.71321,                  1.005,                0.93452,                0.90625,                0.92762,                0.65181,                 1.0876,                0.71825,                 1.0087,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.0619,                0.72812,                 1.0111,                0.92004,                0.89889,                0.93264,                0.61997,                 1.0963,                0.70989,                  1.029,               0.000812,               0.000812,               0.000812
                     33,                 1.0286,                0.69052,                 1.0055,                0.94563,                0.90625,                0.93662,                 0.6206,                 1.0846,                0.70839,                 1.0329,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.0423,                0.73054,                 1.0167,                 0.8982,                0.89607,                0.89358,                0.58118,                 1.1029,                0.78745,                  1.062,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.0394,                0.69278,                 1.0178,                0.94097,                0.89062,                0.90089,                0.60281,                 1.1029,                0.71342,                 1.0806,              0.0006932,              0.0006932,              0.0006932
                     36,                0.99208,                0.66761,                0.98981,                0.92083,                0.90867,                0.91847,                0.64265,                 1.0744,                0.68556,                 1.0315,              0.0006536,              0.0006536,              0.0006536
                     37,                0.98447,                0.67925,                0.99849,                0.93544,                0.90553,                0.92739,                0.64136,                  1.102,                0.70289,                  1.017,               0.000614,               0.000614,               0.000614
                     38,                 1.0074,                  0.711,                 1.0227,                0.92114,                  0.875,                0.90952,                0.62333,                 1.0941,                0.74197,                 1.0149,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.0079,                  0.699,                 0.9912,                0.92643,                0.85938,                0.91211,                0.59777,                 1.1232,                0.75251,                 1.0461,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.0299,                0.66123,                 1.0147,                0.89795,                0.89366,                0.91632,                0.56842,                 1.1642,                0.74999,                 1.1485,              0.0004952,              0.0004952,              0.0004952
                     41,                0.93954,                0.67238,                 1.0094,                0.91826,                0.87771,                 0.8902,                0.57111,                 1.1534,                0.79238,                 1.1219,              0.0004556,              0.0004556,              0.0004556
                     42,                 0.9428,                0.66205,                0.99237,                 0.8783,                0.84578,                0.87286,                0.56207,                 1.1539,                0.83478,                 1.0995,               0.000416,               0.000416,               0.000416
                     43,                0.89314,                0.62903,                0.96628,                0.89176,                0.85938,                0.90028,                0.56706,                 1.1293,                 0.7954,                 1.0709,              0.0003764,              0.0003764,              0.0003764
                     44,                0.87755,                0.63993,                0.96224,                0.92175,                0.85938,                0.91193,                0.60356,                 1.0957,                0.74436,                 1.0437,              0.0003368,              0.0003368,              0.0003368
                     45,                 0.8649,                0.58348,                0.97341,                 0.9158,                0.84972,                 0.9091,                0.60814,                 1.0934,                0.71642,                 1.0595,              0.0002972,              0.0002972,              0.0002972
                     46,                0.90757,                0.60563,                0.97921,                0.91622,                  0.875,                 0.9113,                0.60645,                 1.1022,                0.70049,                 1.0609,              0.0002576,              0.0002576,              0.0002576
                     47,                  0.846,                0.59183,                0.93655,                0.92061,                0.88281,                0.91471,                    0.6,                 1.0966,                0.67759,                 1.0497,               0.000218,               0.000218,               0.000218
                     48,                0.84545,                0.56493,                0.94908,                0.90775,                  0.875,                0.91458,                0.59687,                 1.1021,                0.67554,                 1.0652,              0.0001784,              0.0001784,              0.0001784
                     49,                0.84404,                 0.5719,                0.96793,                0.90312,                  0.875,                0.91223,                0.59608,                 1.1065,                0.69086,                  1.075,              0.0001388,              0.0001388,              0.0001388
                     50,                0.81569,                0.55479,                0.94001,                0.90151,                  0.875,                0.91079,                0.59571,                 1.1041,                 0.7059,                 1.0841,               9.92e-05,               9.92e-05,               9.92e-05
