                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1075,                0.74166,                 1.0382,                 0.8975,                 0.8209,                0.86947,                0.57463,                 1.1445,                0.81912,                 1.1136,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.0736,                 0.7109,                 1.0218,                0.86136,                  0.875,                0.89196,                0.60926,                 1.1151,                0.83294,                 1.0776,              0.0013268,              0.0013268,              0.0013268
                     37,                  1.072,                0.72995,                 1.0381,                0.88904,                0.87634,                0.90199,                0.60841,                 1.1184,                0.86307,                 1.0502,               0.001307,               0.001307,               0.001307
                     38,                 1.0636,                0.76227,                 1.0406,                0.87536,                0.88281,                0.89898,                 0.6003,                 1.1045,                0.84167,                 1.0303,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0774,                0.73543,                 1.0231,                0.89696,                0.86719,                 0.9017,                0.60258,                 1.1186,                0.81129,                 1.0648,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0947,                0.70515,                 1.0446,                0.89548,                0.87014,                0.91566,                 0.5861,                  1.205,                0.75565,                 1.1335,              0.0012476,              0.0012476,              0.0012476
                     41,                0.99628,                0.66628,                 1.0074,                0.87255,                0.90928,                0.92094,                0.61957,                 1.1445,                0.70554,                 1.0907,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0616,                0.75111,                 1.0411,                0.93542,                0.89062,                0.92158,                0.63509,                 1.1108,                0.66658,                 1.0806,               0.001208,               0.001208,               0.001208
                     43,                 1.0311,                0.66848,                 1.0171,                0.91619,                  0.875,                0.92133,                0.60882,                 1.1207,                0.67853,                 1.0842,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0276,                0.68495,                 1.0163,                0.89452,                0.86134,                0.89675,                0.57552,                 1.1678,                0.73619,                  1.141,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.026,                0.66762,                 1.0298,                0.91183,                0.88877,                0.90933,                0.61523,                 1.0838,                 0.7115,                 1.0666,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1079,                0.71037,                 1.0536,                0.91983,                0.89641,                0.91161,                0.58358,                  1.216,                0.72438,                  1.143,              0.0011288,              0.0011288,              0.0011288
                     47,                0.99951,                0.64413,                 1.0052,                0.89494,                0.83594,                0.90817,                0.58617,                 1.2051,                0.72463,                 1.1564,               0.001109,               0.001109,               0.001109
                     48,                0.98844,                0.66856,                 1.0022,                0.91678,                0.89844,                0.91403,                0.60083,                 1.1307,                0.67815,                  1.099,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.022,                0.65285,                 1.0353,                0.92222,                0.92188,                0.91895,                0.60118,                 1.1727,                0.68224,                 1.1314,              0.0010694,              0.0010694,              0.0010694
                     50,                0.98725,                0.61818,                0.99093,                0.91815,                0.89844,                0.92024,                0.59229,                 1.1627,                0.67711,                  1.153,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0381,                0.66739,                 1.0193,                0.90906,                0.85901,                0.91693,                 0.5921,                 1.1437,                0.70624,                 1.1032,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0347,                0.65845,                0.99881,                0.86253,                0.82812,                0.88947,                0.57692,                 1.1451,                0.80894,                 1.1124,                0.00101,                0.00101,                0.00101
                     53,                 1.0172,                0.65873,                 1.0159,                0.90068,                0.85017,                0.92426,                0.60035,                 1.1431,                0.72559,                 1.1265,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0188,                0.66729,                 1.0137,                0.93224,                0.88281,                0.92111,                0.61551,                 1.1549,                0.66354,                 1.1337,              0.0009704,              0.0009704,              0.0009704
                     55,                0.97915,                0.63169,                0.99107,                0.93132,                0.89062,                 0.9149,                0.59205,                 1.1487,                0.69178,                 1.1241,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0105,                0.65038,                 1.0019,                0.92443,                0.86014,                0.88245,                0.54789,                  1.215,                0.69561,                 1.1667,              0.0009308,              0.0009308,              0.0009308
